observation_id,station_id,temperature,humidity,precipitation,observation_time
1,1,60,37.78,5.27,2016-11-20T04:00:00+00:00
2,3,65,61.82,9.57,2016-11-20T04:05:00+00:00
3,5,75,20.36,6.15,2016-11-20T04:10:00+00:00
4,7,68,26.7,5.31,2016-11-20T04:15:00+00:00
5,2,78,27.57,5.59,2016-11-20T04:20:00+00:00
6,4,79,58.01,8.68,2016-11-20T04:25:00+00:00
7,6,55,31.73,8.36,2016-11-20T04:30:00+00:00
8,1,60,37.93,4,2016-11-20T04:35:00+00:00
9,3,68,63.28,5.58,2016-11-20T05:00:00+00:00
10,5,65,69.07,0.1,2016-11-20T05:05:00+00:00
11,7,75,38.9,7.91,2016-11-20T05:10:00+00:00
12,2,68,24.84,4.99,2016-11-20T05:15:00+00:00
13,4,85,35.14,9.13,2016-11-20T06:20:00+00:00
14,6,79,24.45,5.03,2016-11-20T06:25:00+00:00
15,2,79,26.77,9.25,2016-11-20T06:30:00+00:00
16,4,55,60.19,7.8,2016-11-20T07:35:00+00:00
17,6,60,42.97,5.91,2016-11-20T07:00:00+00:00
18,7,65,55.79,4.71,2016-11-20T08:05:00+00:00
19,2,75,43.16,8.26,2016-11-20T08:10:00+00:00
